utc	url	http	dns	connect	tls	ttfb	total	size	remote_ip	runner
2026-08-04T10:24:51Z	https://www.valedalama.net/feed/	200	0.221364	0.337449	0.459956	1.008571	1.149034	49513	195.42.142.41	Linux
2026-08-04T10:24:51Z	https://www.valedalama.net/feed/	200	0.208051	0.324422	0.446066	0.953913	1.094560	49513	195.42.142.41	Linux
2026-08-04T10:24:51Z	https://www.valedalama.net/feed/	200	0.159416	0.283887	0.406692	0.934646	1.077134	49513	195.42.142.41	Linux
2026-08-04T10:24:51Z	https://refarmer.blog/feed/	200	0.023515	0.025326	0.046097	0.049262	0.051864	41951	192.0.78.25	Linux
2026-08-04T10:24:51Z	https://refarmer.blog/feed/	200	0.032951	0.034900	0.054703	0.058320	0.060858	41951	192.0.78.24	Linux
2026-08-04T10:24:51Z	https://refarmer.blog/feed/	200	0.032968	0.034774	0.054614	0.057587	0.059652	41951	192.0.78.25	Linux
2026-08-04T12:25:03Z	https://www.valedalama.net/feed/	200	0.324517	0.469389	0.619420	1.161396	1.336402	49513	195.42.142.41	Linux
2026-08-04T12:25:03Z	https://www.valedalama.net/feed/	200	0.386277	0.522783	0.664101	1.157336	1.322292	49513	195.42.142.41	Linux
2026-08-04T12:25:03Z	https://www.valedalama.net/feed/	200	0.393759	0.538736	0.688555	1.239659	1.414466	49513	195.42.142.41	Linux
2026-08-04T12:25:03Z	https://refarmer.blog/feed/	200	0.054185	0.068558	0.088309	0.105047	0.125094	41951	192.0.78.24	Linux
2026-08-04T12:25:03Z	https://refarmer.blog/feed/	200	0.036588	0.051244	0.070842	0.087039	0.108065	41951	192.0.78.25	Linux
2026-08-04T12:25:03Z	https://refarmer.blog/feed/	200	0.047822	0.061841	0.109806	0.142176	0.171864	41951	192.0.78.24	Linux
2026-08-04T14:59:28Z	https://www.valedalama.net/feed/	200	0.264219	0.386230	0.512994	1.013103	1.159960	49513	195.42.142.41	Linux
2026-08-04T14:59:28Z	https://www.valedalama.net/feed/	200	0.319042	0.442514	0.569856	1.007839	1.154940	49513	195.42.142.41	Linux
2026-08-04T14:59:28Z	https://www.valedalama.net/feed/	200	0.149152	0.270750	0.397380	0.881699	1.028493	49513	195.42.142.41	Linux
2026-08-04T14:59:28Z	https://refarmer.blog/feed/	200	0.015417	0.020840	0.044535	0.051014	0.058075	41951	192.0.78.25	Linux
2026-08-04T14:59:28Z	https://refarmer.blog/feed/	200	0.036498	0.041870	0.061823	0.068285	0.075460	41951	192.0.78.25	Linux
2026-08-04T14:59:28Z	https://refarmer.blog/feed/	200	0.033400	0.038697	0.058505	0.066365	0.073334	41951	192.0.78.25	Linux
2026-08-04T16:58:27Z	https://www.valedalama.net/feed/	200	0.272523	0.392887	0.518296	1.026069	1.171190	49513	195.42.142.41	Linux
2026-08-04T16:58:27Z	https://www.valedalama.net/feed/	200	0.317402	0.438834	0.564593	1.026647	1.172482	49513	195.42.142.41	Linux
2026-08-04T16:58:27Z	https://www.valedalama.net/feed/	200	0.168341	0.288563	0.413778	0.882574	1.027734	49513	195.42.142.41	Linux
2026-08-04T16:58:27Z	https://refarmer.blog/feed/	200	0.227442	0.233995	0.257011	0.263389	0.270529	41951	192.0.78.24	Linux
2026-08-04T16:58:27Z	https://refarmer.blog/feed/	200	0.015526	0.021023	0.040715	0.053519	0.060846	41951	192.0.78.24	Linux
